               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064252,            0.043494,           0.0063451,             0.88308,             0.19481,             0.21345,            0.084409,            0.057374,            0.038804,           0.0033625,            0.070062,           0.0033264,           0.0033264
                   1,            0.047193,            0.037925,           0.0034926,             0.96827,             0.26713,             0.29675,             0.13887,            0.042007,            0.035158,           0.0031168,            0.040009,           0.0066065,           0.0066065
                   2,            0.043719,             0.03627,           0.0031745,             0.97551,             0.27622,              0.3003,             0.13817,            0.041472,             0.03492,           0.0031491,           0.0099022,           0.0098332,           0.0098332
                   3,             0.04005,            0.035466,           0.0028928,             0.97982,             0.28409,             0.30517,             0.15115,            0.037209,            0.034703,           0.0032588,             0.00976,             0.00976,             0.00976
                   4,            0.037775,            0.034465,           0.0028871,             0.97894,              0.2837,             0.30721,             0.14484,            0.038778,            0.034623,           0.0027742,             0.00976,             0.00976,             0.00976
                   5,            0.036782,            0.034102,           0.0025443,             0.98443,             0.28851,             0.31112,             0.15848,            0.036803,            0.032695,           0.0026101,             0.00968,             0.00968,             0.00968
                   6,            0.037146,            0.033943,           0.0028739,             0.98511,             0.28982,             0.31441,             0.15988,            0.035647,            0.032619,           0.0024885,              0.0096,              0.0096,              0.0096
                   7,             0.03551,            0.033363,           0.0023732,             0.98558,             0.28796,             0.31536,             0.16124,             0.03509,            0.033129,           0.0023048,             0.00952,             0.00952,             0.00952
                   8,            0.035318,            0.033294,           0.0022216,             0.98525,             0.28932,             0.36738,             0.16645,            0.033893,            0.033032,           0.0025384,             0.00944,             0.00944,             0.00944
                   9,            0.034729,            0.032943,            0.002128,             0.98532,             0.28924,             0.32252,             0.16264,            0.033133,            0.032808,           0.0022536,             0.00936,             0.00936,             0.00936
                  10,            0.034965,            0.033063,           0.0026479,             0.98525,             0.29252,             0.34409,             0.17056,            0.033855,            0.032611,           0.0025171,             0.00928,             0.00928,             0.00928
                  11,             0.03478,            0.032741,           0.0024808,             0.98616,             0.29321,              0.3395,             0.16963,            0.033726,            0.031828,           0.0023664,              0.0092,              0.0092,              0.0092
                  12,            0.035062,            0.033092,           0.0027331,             0.98716,             0.29096,              0.4012,             0.21094,            0.033904,            0.032434,            0.002372,             0.00912,             0.00912,             0.00912
                  13,            0.034686,            0.033068,           0.0023521,             0.98652,             0.29424,             0.40412,             0.22162,            0.033756,            0.031963,           0.0018011,             0.00904,             0.00904,             0.00904
                  14,            0.034545,            0.032537,           0.0022602,             0.98746,             0.29254,              0.3876,             0.18734,            0.033429,            0.031546,           0.0018939,             0.00896,             0.00896,             0.00896
                  15,            0.034327,            0.032305,            0.002076,             0.98566,             0.29624,             0.43872,             0.18583,            0.033092,            0.031953,           0.0020006,             0.00888,             0.00888,             0.00888
                  16,            0.032961,            0.032307,           0.0017135,             0.98628,             0.29652,             0.34103,              0.1782,             0.03387,            0.031696,           0.0017575,              0.0088,              0.0088,              0.0088
                  17,            0.034108,            0.032561,           0.0022385,             0.98818,             0.29188,             0.42062,             0.18937,            0.035527,            0.031824,           0.0019963,             0.00872,             0.00872,             0.00872
                  18,            0.034147,            0.032341,            0.002034,             0.41496,             0.34747,             0.44691,             0.24164,            0.031663,            0.031526,           0.0015883,             0.00864,             0.00864,             0.00864
                  19,            0.033768,            0.032416,           0.0019215,             0.91347,             0.31369,             0.47474,              0.2455,            0.031725,            0.031202,             0.00194,             0.00856,             0.00856,             0.00856
                  20,            0.033689,            0.032184,           0.0018539,             0.77404,             0.36239,             0.42109,             0.20629,            0.031276,            0.031104,           0.0012584,             0.00848,             0.00848,             0.00848
                  21,             0.03407,            0.031888,           0.0020981,             0.27286,             0.38189,             0.39488,             0.20723,            0.031949,            0.030991,           0.0017835,              0.0084,              0.0084,              0.0084
                  22,            0.033294,            0.031507,           0.0018478,             0.34342,             0.48402,             0.42571,             0.22565,            0.031505,            0.030944,           0.0014276,             0.00832,             0.00832,             0.00832
                  23,            0.033893,            0.032003,           0.0017086,              0.2816,             0.38955,             0.36275,             0.18772,            0.031523,            0.031107,           0.0015493,             0.00824,             0.00824,             0.00824
                  24,            0.032866,             0.03169,            0.001556,             0.54076,             0.46565,             0.49903,             0.24291,            0.031308,            0.030845,           0.0011239,             0.00816,             0.00816,             0.00816
                  25,            0.033506,            0.032209,           0.0018341,               0.425,             0.49533,             0.43488,             0.23032,            0.032528,            0.030954,           0.0012273,             0.00808,             0.00808,             0.00808
                  26,            0.033058,             0.03181,           0.0016901,             0.58335,             0.47655,              0.5047,             0.27392,            0.031247,            0.030712,           0.0014318,               0.008,               0.008,               0.008
                  27,            0.033232,            0.031744,           0.0013581,             0.52269,             0.51511,              0.4898,             0.24808,            0.030554,            0.030661,           0.0013729,             0.00792,             0.00792,             0.00792
